Description,Category,Address,Reviews
Mission Bay Aquatic Center,#14 of 196 Boat Tours & Water Sports in San Diego,"1001 Santa Clara Pl, San Diego, CA 92109-7228",431 reviews
Boardwalk Electric Rides,#167 of 333 Outdoor Activities in San Diego,"4150 Mission Blvd, San Diego, CA 92109-5051",5 reviews
Lahaina,#44 of 221 Nightlife in San Diego,"710 Oliver Ave, San Diego, CA 92109-5017",31 reviews
PB Surf Shop,#126 of 196 Boat Tours & Water Sports in San Diego,"4208 Oliver Ct, San Diego, CA 92109-3957",2 reviews
Pacifi Beach Surf Shop,#10 of 28 Classes & Workshops in San Diego,"4150 Mission Blvd Suite 161, San Diego, CA 92109-5051",3 reviews
Moondoggies,Be the first to review this attraction,,
Surf Lessons San Diego,Be the first to review this attraction,,
Top Dog Limo Bus,#12 of 31 Transportation in San Diego,"1103 Emerald St, San Diego, CA 92109-2921",4 reviews
Escapology,#2 of 89 Fun & Games in San Diego,"3116 Mission Blvd, San Diego, CA 92109-8725",350 reviews
The Catamaran Spa,#4 of 123 Spas & Wellness in San Diego,"3999 Mission Blvd, San Diego, CA 92109-6959",20 reviews
Typhoon Saloon,#76 of 221 Nightlife in San Diego,"1165 Garnet Ave, San Diego, CA 92109-2906",6 reviews
The Tavern at the Beach,#57 of 221 Nightlife in San Diego,"1200 Garnet Ave. at Everet Street Pacific Beach, San Diego, CA 92109-2912",17 reviews
Just Kayak,#75 of 196 Boat Tours & Water Sports in San Diego,"4090 Dawes St, San Diego, CA 92109",17 reviews
Barrel Republic,#31 of 221 Nightlife in San Diego,"1261 Garnet Ave Pacific Beach, San Diego, CA 92109-2913",16 reviews
Action Sport Rentals,#91 of 196 Boat Tours & Water Sports in San Diego,"3981 Mission Blvd, San Diego, CA 92109-6958",18 reviews
Duffy of San Diego,#2 of 116 Food & Drink in San Diego,"1548 Quivira Way, San Diego, CA 92109-8305",552 reviews
San Diego Fly Rides,#1 of 22 Tours in La Jolla,"7444 Girard Ave, La Jolla, San Diego, CA 92037-3614","1,113 reviews"
Always Summer Surf School,#86 of 196 Boat Tours & Water Sports in San Diego,"4904 Crystal Dr, San Diego, CA 92109-2062",8 reviews
The Dog,#146 of 221 Nightlife in San Diego,"4479 Everts St, San Diego, CA 92109-4208",1 review
Lajollacooks4u,#1 of 2 Food & Drink in La Jolla,"2094 Caminito Capa, La Jolla, San Diego, CA 92037-5705",276 reviews
Custom Bike Tours San Diego,#49 of 116 Food & Drink in San Diego,"1277 Garnet Ave, San Diego, CA 92109-2913",8 reviews
Mission Beach Boardwalk,#38 of 389 things to do in San Diego,"San Diego, CA",693 reviews
Resort Watersports,#247 of 333 Outdoor Activities in San Diego,"3981 Mission Blvd, San Diego, CA 92109-6958",2 reviews
San Diego Parasailing Adventures,#20 of 196 Boat Tours & Water Sports in San Diego,"1842 Quivira Way Marina Village, San Diego, CA 92109-8313",120 reviews
Bespoke Experiences,#198 of 346 Tours in San Diego,"San Diego, CA 92109-5151",6 reviews
Pacific Beach,#19 of 389 things to do in San Diego,"Grand Avenue, San Diego, CA","1,145 reviews"
Harvard Cookin' Girl,#2 of 2 Food & Drink in La Jolla,"7441 Girard Ave, La Jolla, San Diego, CA 92037-5143",295 reviews
Malarky Sailing Charters,#25 of 196 Boat Tours & Water Sports in San Diego,"1441 Quivira Rd, San Diego, CA 92109-7805",59 reviews
Pacific Beach Bike Shop,#244 of 333 Outdoor Activities in San Diego,"1277 Garnet Ave, San Diego, CA 92109-2913",1 review
Mt. Soledad National Veterans Memorial,#2 of 53 things to do in La Jolla,"6905 La Jolla Scenic Drive South, La Jolla, San Diego, CA 92037","2,240 reviews"
Boundless Boat Charters,#26 of 196 Boat Tours & Water Sports in San Diego,"San Diego, CA 92107",61 reviews
Hot Tub Cruisin,#65 of 196 Boat Tours & Water Sports in San Diego,"1010 Santa Clara Pl Mission Bay Sport Center, San Diego, CA 92109-7227",19 reviews
Windansea Beach,#7 of 53 things to do in La Jolla,"6800 Neptune Place, La Jolla, San Diego, CA 92083",529 reviews
Fanuel Beach Park,#170 of 389 things to do in San Diego,"4000 Fanuel St, San Diego, CA 92109",10 reviews
Mission Bay Park,#34 of 389 things to do in San Diego,"2688 E Mission Bay Dr, San Diego, CA 92109-6802",551 reviews
Old Point Loma Lighthouse,#23 of 389 things to do in San Diego,"Point Loma, San Diego, CA","1,340 reviews"
Offshore Blue Adventures,#32 of 196 Boat Tours & Water Sports in San Diego,"1500 Quivira Way, San Diego, CA 92109-8303",86 reviews
Surfari Surf School,#68 of 196 Boat Tours & Water Sports in San Diego,"3740 Mission Blvd, San Diego, CA 92109-7135",60 reviews
Cheap Rentals,#97 of 333 Outdoor Activities in San Diego,"3689 Mission Blvd, San Diego, CA 92109-7369",36 reviews
Rocket Fizz Soda Pop & Candy Shop,#59 of 142 Shopping in San Diego,"1414 Garnet Ave, San Diego, CA 92109-3014",3 reviews
PB Pub,#165 of 221 Nightlife in San Diego,"4471 Gresham St, San Diego, CA 92109-4226",1 review
SeaWorld San Diego,#55 of 389 things to do in San Diego,"500 Sea World Drive, San Diego, CA 92109-7904","9,485 reviews"
Belmont Park,#73 of 389 things to do in San Diego,"3146 Mission Blvd, San Diego, CA 92109-7767",764 reviews
Marissa Dive Charters,#93 of 196 Boat Tours & Water Sports in San Diego,"1010 Santa Clara Pl, San Diego, CA 92109-7227",27 reviews
On The Fly Fishing Charters,#43 of 196 Boat Tours & Water Sports in San Diego,"2580 Ingraham St, San Diego, CA 92109-7909",63 reviews
Girard Avenue and Prospect Street,#13 of 53 things to do in La Jolla,"About 16 Km Northwest of San Diego Girard and Prospect Avenues, La Jolla, San Diego, CA",275 reviews
City Running Tours San Diego,#124 of 333 Outdoor Activities in San Diego,"1711 Thomas Ave, San Diego, CA 92109-4427",19 reviews
The Turquoise Cafe Bar,#132 of 221 Nightlife in San Diego,"873 Turquoise St, San Diego, CA 92109-1127",1 review
Ocean Beach,#66 of 389 things to do in San Diego,"Newport Ave, San Diego, CA 92107-3014",777 reviews
Rocky's Crown Pub,#33 of 221 Nightlife in San Diego,"3786 Ingraham St, San Diego, CA 92109-6764",19 reviews
Wave House,#106 of 389 things to do in San Diego,"3125 Ocean Front Walk, San Diego, CA 92109-8730",162 reviews
Travel You To The Moon,#79 of 196 Boat Tours & Water Sports in San Diego,"4455 Lamont St, San Diego, CA 92109-4589",55 reviews
Pilar's Beach Wear,#103 of 142 Shopping in San Diego,"3745 Mission Blvd, San Diego, CA 92109-7195",1 review
Kate Sessions Memorial Park,#144 of 389 things to do in San Diego,"Soledad Rd and Lamont St, San Diego, CA 92109",23 reviews
Gone Sailing Charters,#51 of 196 Boat Tours & Water Sports in San Diego,"1441 Quivira Rd Hyatt Regency Spa and Marina Hotel - A Dock, San Diego, CA 92109-7805",31 reviews
SUP California,#94 of 196 Boat Tours & Water Sports in San Diego,"4080 Dawes St Pick Up Point: East Mission Bay, End of San Juan Place, San Diego, CA 92109",9 reviews
La Jolla Open Aire Market,#16 of 53 things to do in La Jolla,"Corner of Girard Avenue & Genter Street, La Jolla, San Diego, CA",71 reviews
Great News Cookware and Cooking School,#13 of 28 Classes & Workshops in San Diego,"1788 Garnet Ave, San Diego, CA 92109-3350",3 reviews
MotoSurfCo.,#106 of 196 Boat Tours & Water Sports in San Diego,"1804 Garnet Ave Suite 431, San Diego, CA 92109-3352",5 reviews
Barefoot Bar and Grill,#9 of 221 Nightlife in San Diego,"1404 Vacation Village Road, San Diego, CA",79 reviews
Giant Dipper Roller Coaster,#128 of 389 things to do in San Diego,"3190 Mission Blvd, San Diego, CA 92109-7726",52 reviews
The Silver Fox,#65 of 221 Nightlife in San Diego,"1833 Garnet Ave, San Diego, CA 92109-3353",4 reviews
Bahia Belle,#103 of 346 Tours in San Diego,"998 W Mission Bay Dr, San Diego, CA 92109-7803",71 reviews
Calumet Park,#37 of 53 things to do in La Jolla,"5424 Calumet Rd, La Jolla, San Diego, CA 92037-7603",9 reviews
Outdoor Fun San Diego Day Tours,#220 of 346 Tours in San Diego,"3612 Strandway, San Diego, CA 92109-7340",6 reviews
Mission Bay Stand Up Paddle,#154 of 196 Boat Tours & Water Sports in San Diego,"732.5 Ormond Ct, San Diego, CA 92109-7328",1 review
Ray's Rentals,#106 of 333 Outdoor Activities in San Diego,"3221 Mission Blvd, San Diego, CA 92109-7728",40 reviews
Kiwi Spa Organic Facial Innovation,#21 of 123 Spas & Wellness in San Diego,"1919 Grand Ave #1l, San Diego, CA 92109-4500",4 reviews
Waterhorse Charters,#56 of 196 Boat Tours & Water Sports in San Diego,"1617 Quivira Rd Suite B, San Diego, CA 92109",45 reviews
Martine's Skin Care,#76 of 123 Spas & Wellness in San Diego,"1819 Garnet Ave, San Diego, CA 92109-3353",1 review
Pacific Beach Bikes,#245 of 333 Outdoor Activities in San Diego,"1852 Garnet Ave Located next to Chronic Taco, in the Pacific Plaza shopping center, San Diego, CA 92109-3363",5 reviews
Fiesta Island,#104 of 389 things to do in San Diego,"San Diego, CA",55 reviews
La Jolla Bike Tour,#15 of 22 Tours in La Jolla,"5666 La Jolla Blvd Suite 101A, La Jolla, San Diego, CA 92037-7322",12 reviews
PB E-Bikes,Be the first to review this attraction,,
Seaforth Boat Rental &Tours,#57 of 196 Boat Tours & Water Sports in San Diego,"1641 Quivira Rd, San Diego, CA 92109-7801",126 reviews
SD Livinit,#194 of 333 Outdoor Activities in San Diego,"La Jolla Blvd, San Diego, CA 92037",3 reviews
Riffs Studios,#5 of 20 Spas & Wellness in La Jolla,"5510 La Jolla Blvd, La Jolla, San Diego, CA 92037",3 reviews
Crown Point Park,#302 of 389 things to do in San Diego,"Moreland Dr Crown Point Drive & Corona Oriente Road, San Diego, CA 92109",2 reviews
Pedego Electric Bikes,#26 of 35 Outdoor Activities in La Jolla,"5702 La Jolla Blvd Suite 101A, La Jolla, San Diego, CA 92037-7322",7 reviews
Mission Beach Pilates,#7 of 123 Spas & Wellness in San Diego,"819 1/2 San Fernando Pl, San Diego, CA 92109",18 reviews
Bike the Beach,#261 of 346 Tours in San Diego,"3875 Sequoia St, San Diego, CA 92109-6521",1 review
Aqua Adventures Kayaks & Paddleboards,#60 of 196 Boat Tours & Water Sports in San Diego,"1548 Quivira Way, San Diego, CA 92109-8305",31 reviews
Coaster Saloon Mission Beach California,#43 of 221 Nightlife in San Diego,"744 Ventura Pl, San Diego, CA 92109-7749",19 reviews
Ship 'N a Bottle,#63 of 196 Boat Tours & Water Sports in San Diego,"1500 Quivira Way Slip C141, San Diego, CA 92109-8303",26 reviews
Cruise San Diego,#69 of 196 Boat Tours & Water Sports in San Diego,"1617 Quivira Rd, San Diego, CA 92109-7801",40 reviews
Ocean Beach Municipal Pier,#107 of 389 things to do in San Diego,"1950 Abbott St, San Diego, CA 92107-2804",34 reviews
Campland on the Bay,#164 of 333 Outdoor Activities in San Diego,"2211 Pacific Beach Dr, San Diego, CA 92109-5699",23 reviews
San Diego Scenic Tours,#202 of 346 Tours in San Diego,"2255 Garnet Ave Unit 3, San Diego, CA 92109-3774",32 reviews
"Mary, Star of the Sea Catholic Church",#24 of 53 things to do in La Jolla,"7669 Girard Ave, La Jolla, San Diego, CA 92037-4421",33 reviews
Paskowitz Surf Camp,#121 of 196 Boat Tours & Water Sports in San Diego,"2211 Pacific Beach Dr, San Diego, CA 92109-5626",3 reviews
Tide Chaser Yacht Charters,#82 of 196 Boat Tours & Water Sports in San Diego,"1406 Vacation Rd, San Diego, CA 92109-7905",11 reviews
Mission Beach Rentals at Belmont,#99 of 196 Boat Tours & Water Sports in San Diego,"3136 Mission Blvd Belmont Park, San Diego, CA 92109-7778",6 reviews
San Diego Boat and Sailing Charters,#122 of 196 Boat Tours & Water Sports in San Diego,"745 Isthmus Ct, San Diego, CA 92109-7785",3 reviews
Spa Blue,#20 of 123 Spas & Wellness in San Diego,"Paradise Point Resort 1404 Vacation Road, San Diego, CA 92109",6 reviews
Xplore Offshore Day Tours,#11 of 18 Boat Tours & Water Sports in La Jolla,"2864 Palomino Cir, La Jolla, San Diego, CA 92037-7066",17 reviews
Murals of La Jolla,#30 of 53 things to do in La Jolla,"La Jolla, San Diego, CA 92037-4418",21 reviews
Mushroom Beach,#32 of 53 things to do in La Jolla,"Neptune Pl. and Palomar Ave, La Jolla, San Diego, CA 92037",23 reviews
Paddle Board Bliss,#115 of 196 Boat Tours & Water Sports in San Diego,"1404 Vacation Rd, San Diego, CA 92109-7905",6 reviews
Tiki Town Adventure Golf,#43 of 89 Fun & Games in San Diego,"3114 Mission Blvd Belmont Park, San Diego, CA 92109-7726",7 reviews
Mike Hess Brewing,#132 of 389 things to do in San Diego,"3812 Grim Ave, San Diego, CA 92104-3602",34 reviews
Capehart Dog Park,#268 of 389 things to do in San Diego,"4754 Soledad Mtn Road, San Diego, CA 92109",3 reviews
Adventure Water Sports,#144 of 196 Boat Tours & Water Sports in San Diego,"2211 Pacific Beach Dr, San Diego, CA 92109-5626",1 review
Wings Beachwear,#72 of 142 Shopping in San Diego,"3136 Mission Blvd, San Diego, CA 92109-7778",2 reviews
Ocean Beach Surf School,#70 of 196 Boat Tours & Water Sports in San Diego,"5022 Santa Monica Ave, San Diego, CA 92107-2814",26 reviews
House of Scuba,#98 of 196 Boat Tours & Water Sports in San Diego,"5141 Santa Fe St Ste A, San Diego, CA 92109-1621",16 reviews
H2o Jetski Rental,#97 of 196 Boat Tours & Water Sports in San Diego,"1617 Quivira Rd, San Diego, CA 92109-7801",8 reviews
Mission Bay Golf Course,#181 of 333 Outdoor Activities in San Diego,"2702 N Mission Bay Dr, San Diego, CA 92109-6896",9 reviews
Adventure Water Sports,#107 of 196 Boat Tours & Water Sports in San Diego,"1710 W Mission Bay Dr Dana Hotel, San Diego, CA 92109-7810",7 reviews
La Jolla Water Sports,#16 of 18 Boat Tours & Water Sports in La Jolla,"2710 Garnet Ave Ste 110, La Jolla, San Diego, CA 92109-3849",14 reviews
THE LOT La Jolla,#2 of 7 Fun & Games in La Jolla,"7611 Fay Ave, La Jolla, San Diego, CA 92037-4836",36 reviews
Beachcomber,#107 of 221 Nightlife in San Diego,"2901 Mission Boulevard San Diego, CA 92109, San Diego, CA 92109",4 reviews
Brothers Sport Fishing,#114 of 196 Boat Tours & Water Sports in San Diego,"1908 Dana Landing Road, San Diego, CA 92109",3 reviews
Lois Ann Dive Charters,#112 of 196 Boat Tours & Water Sports in San Diego,"1717 Quivira Rd, San Diego, CA 92109-7811",4 reviews
Tailwalker Sportfishing,#125 of 196 Boat Tours & Water Sports in San Diego,"1441 Quivira Rd, San Diego, CA 92109-7805",2 reviews
Dizzy's,#33 of 58 Concerts & Shows in San Diego,"1717 Morena Blvd Arias Hall, behind the Musicians Local 325, San Diego, CA 92110-3635",5 reviews
San Diego Airport Luggage Store,#90 of 142 Shopping in San Diego,"San Diego Airport / Cruise terminal, San Diego, CA",5 reviews
San Diego Jet Ski Rentals,#138 of 196 Boat Tours & Water Sports in San Diego,"4365 Mission Bay Dr, San Diego, CA 92109-5782",1 review
San Diego Motorsports Rental,#218 of 333 Outdoor Activities in San Diego,"4275 Mission Bay Dr, San Diego, CA 92109-5727",2 reviews
Chubasco II Sportfishing,#146 of 196 Boat Tours & Water Sports in San Diego,"1617 Quivira Rd, San Diego, CA 92109-7801",1 review
SK Sanctuary Day Spa,#6 of 20 Spas & Wellness in La Jolla,"6919 La Jolla Blvd, La Jolla, San Diego, CA 92037-5427",13 reviews
Aloha Surfer Girls,Be the first to review this attraction,,
Harvest International Market,#29 of 142 Shopping in San Diego,"4220 Balboa Ave, San Diego, CA 92117-5508",11 reviews
Sun-Kissed Tours,#66 of 116 Food & Drink in San Diego,"4966 Voltaire St, San Diego, CA 92107-2106",4 reviews
Dog Beach,#238 of 389 things to do in San Diego,"San Diego, CA 92107-1315",4 reviews
D.G. Wills Books,#11 of 32 Shopping in La Jolla,"7461 Girard Ave, La Jolla, San Diego, CA 92037-5143",5 reviews
Spa Brezza,#30 of 123 Spas & Wellness in San Diego,"1775 E Mission Bay Dr At The Hilton San Diego Resort And Spa, San Diego, CA 92109-6801",3 reviews
Sur La Table,#9 of 32 Shopping in La Jolla,"7643 Girard Ave, La Jolla, San Diego, CA 92037-4443",6 reviews
Ark Antiques,#40 of 53 things to do in La Jolla,"7620 Girard Ave, La Jolla, San Diego, CA 92037-4420",7 reviews
Therapie Day Spa,#37 of 123 Spas & Wellness in San Diego,"4985 Voltaire St, San Diego, CA 92107-2105",2 reviews
La Vie Day Spa,#8 of 20 Spas & Wellness in La Jolla,"7532 La Jolla Blvd, La Jolla, San Diego, CA 92037-4720",2 reviews
Le Vie Skincare,#7 of 20 Spas & Wellness in La Jolla,"7661 Girard Ave Suite 100, La Jolla, San Diego, CA 92037-4436",2 reviews
Comedy Store La Jolla,#3 of 4 Nightlife in La Jolla,"916 Pearl St, La Jolla, San Diego, CA 92037-5021",20 reviews
La Jolla Swim and Sport,#19 of 32 Shopping in La Jolla,"1008 Torrey Pines Rd, La Jolla, San Diego, CA 92037-4416",1 review
City Lights Collectables,#337 of 389 things to do in San Diego,"1212 Knoxville St, San Diego, CA 92110-3717",1 review
Sunshine Company Saloon,#153 of 221 Nightlife in San Diego,"5028 Newport Ave, San Diego, CA 92107-3010",1 review
Affordable Jet Ski Tours,#157 of 196 Boat Tours & Water Sports in San Diego,"4255 Mission Bay Dr, San Diego, CA 92109-5782",1 review
Bitter Brothers Brewing Company,#359 of 389 things to do in San Diego,"4170 Morena Blvd, San Diego, CA 92117-5203",1 review
PlumCrazy Pb,Be the first to review this attraction,,
Action Sport Rentals,Be the first to review this attraction,,
Motu Hawaii,Be the first to review this attraction,,
Kundalini Windansea,Be the first to review this attraction,,
Aly’s Pilates,#13 of 20 Spas & Wellness in La Jolla,"7531 Girard Ave, La Jolla, San Diego, CA 92037-5196",1 review
Cannibal Bar,Be the first to review this attraction,,
SunChaser SUP & Yoga,Be the first to review this attraction,,
Brewley's Pint,Be the first to review this attraction,,
Pacific Taxi,Be the first to review this attraction,,
Custom Yacht Charter,Be the first to review this attraction,,
"Aqua Lavage Colon Hydrotherapy & Detox, LLC",Be the first to review this attraction,,
Lisa Moreno Massage,Be the first to review this attraction,,
San Diego Surfboard Rental,Be the first to review this attraction,,
ISweat,Be the first to review this attraction,,
Windsport,Be the first to review this attraction,,
Learn To Surf,Be the first to review this attraction,,
Mission Bay Wine Cruise,Be the first to review this attraction,,
Soul Girl Yoga,Be the first to review this attraction,,
San Diego Yacht Cruises,Be the first to review this attraction,,
West Coast Paddle Sports,Be the first to review this attraction,,
Mr. Jack O' Lanterns Pumpkins,Be the first to review this attraction,,
Capriccio,Be the first to review this attraction,,
Hydrobikes SD,Be the first to review this attraction,,
Action Sport Rentals,Be the first to review this attraction,,
Silver Spigot,Be the first to review this attraction,,
L.L.H Beauty and Wellness Spa,Be the first to review this attraction,,
California Bicycle Inc,Be the first to review this attraction,,
Kayak SD,Be the first to review this attraction,,
At The Moment Yoga Massage,Be the first to review this attraction,,
Scott White Gallery,Be the first to review this attraction,,
San Diego Surfboard Rental Delivery Co.,4 reviews,,
San Diego Cruisers,3 reviews,,
K-Dub's Beach Rentals,7 reviews,,
La Jolla Spa MD,3 reviews,,
